fips,poverty_count,median_income
20017,258,54518
20019,560,54592
20021,2476,58274
20023,451,55765
20025,178,65515
20027,1018,63136
20029,863,57333
20031,782,67377
20033,181,49417
20035,4455,58263
20037,7727,50311
20039,345,52030
20041,1592,67982
20043,662,72833
20045,16894,68756
20047,453,53792
20049,410,56087
20051,4873,59889
20053,453,66792
20055,4351,72437
20057,4769,70495
20059,2444,72142
20061,6709,57344
20063,112,63203
20065,267,52909
20067,390,72484
20069,383,77885
20071,127,78819
20073,873,58276
20075,92,61929
20077,812,55417
20079,2592,73269
20081,387,69138
20083,99,63125
20085,1190,72703
20087,1147,77393
20089,369,52344
20091,32476,107261
20093,232,74135
20095,670,59819
20097,125,73214
20099,3117,55439
20101,121,53042
20103,6671,86906
20105,341,53546
20107,1024,59200
20109,355,71389
20111,4712,59078
20113,2579,77701
20115,1104,63438
20117,913,70828
20119,255,74868
20121,2267,88000
20123,702,58233
20125,4911,53242
20127,677,56716
20129,381,65625
20131,764,77375
20133,2340,55704
20135,296,66107
20137,375,50305
20139,1709,70216
20141,419,59408
20143,685,76755
20145,608,63625
20147,661,61235
20149,1810,87694
20151,813,64348
20153,252,65000
20155,7252,60498
20157,665,53611
20159,644,63947
20161,13499,59560
20163,247,61596
20165,329,60288
20167,1004,53902
20169,6457,63316
20171,436,67788
20173,72477,67675
20175,2762,62269
20177,21495,66043
20179,252,70000
20181,557,64444
20183,275,57024
20185,422,63786
20187,256,70361
20189,780,61909
20191,2351,60348
20193,516,73575
20195,149,73375
20197,480,70536
20199,184,60263
20201,440,62452
20203,342,71282
20205,1331,57056
20207,379,48152
20209,28943,60582
21001,3208,50316
21003,3120,59029
21005,2981,71747
21007,1037,64740
21009,9207,49171
21011,2974,54128
21013,6268,32403
21015,8997,94752
21017,2724,56322
21019,8154,60659
21021,3946,61635
21023,1675,59521
21025,3726,41101
21027,4331,53673
21029,7882,77640
21031,2230,52003
21033,1731,57618
21035,6012,51854
21037,9728,77271
21039,783,62019
21041,2001,57753
21043,5058,50389
21045,3791,41689
21047,11580,54190
21049,4696,67824
21051,5887,39607
21053,1674,42168
21055,1578,47003
21057,1987,39662
21059,15314,65323
21061,2030,54512
21063,1659,40074
21065,3064,43905
21067,48466,67631
21069,3480,49663
21071,9177,41582
21073,6683,66470
21075,1509,36834
21077,1245,62247
21079,2922,62572
21081,3045,67940
21083,7406,50576
21085,5027,49893
21087,2384,41087
21089,5292,59613
21091,1409,66836
21093,12623,67608
21095,6930,37198
21097,3039,63205
21099,4022,49653
21101,6734,58239
21103,2602,60736
21105,893,63750
21107,8405,57610
21109,2945,41410
21111,110819,67849
21113,5480,74886
21115,5116,43014
21117,20065,79421
21119,3511,37736
21121,10761,33153
21123,2789,67770
21125,13047,56999
21127,3529,45584
21129,1876,34182
21131,2701,40176
21133,5539,40501
21135,2915,41632
21137,4459,50862
21139,1677,59713
21141,3839,61535
21143,778,64464
21145,10173,62385
21147,5358,37355
21149,840,70549
21151,13938,62407
21153,3775,33632
21155,3665,55404
21157,4148,63611
21159,2862,46185
21161,3073,51473
21163,4091,70163
21165,1730,44672
21167,2557,63115
21169,2634,48572
21171,2484,49430
21173,4229,57468
21175,2224,47493
21177,5250,52672
21179,4512,67888
21181,1396,53616
21183,3023,54369
21185,2561,121491
21187,1913,59706
21189,960,31064
21191,2061,66601
21193,6894,45261
21195,14081,42179
21197,2755,39811
21199,13006,50943
21201,573,52337
21203,3824,48367
21205,5308,53657
21207,4142,50520
21209,5933,83660
21211,4066,82671
21213,2914,57392
21215,1450,98333
21217,4156,61871
21219,2618,57759
21221,2888,54630
21223,1107,67813
21225,2281,60989
21227,22098,64801
21229,1489,59762
21231,4690,41933
21233,1746,58786
21235,8772,41719
21237,2404,29052
21239,2656,80006
22001,13750,45266
22003,3849,51138
22005,13182,92266
22007,2861,52546
22009,9875,39439
22011,5040,64995
22013,4002,34992
22015,20762,66336
22017,50837,50067
22019,36643,67849
22021,2351,44957
22023,327,72500
22025,2117,47753
22027,4223,31784
22029,5926,37349
22031,5815,46077
22033,81374,63075
22035,1941,28321
22037,2248,72899
22039,7022,42273
22041,4765,44103
22043,3033,61112
22045,15483,57811
22047,4208,57459
22049,3426,43345
22051,69819,65246
22053,5586,56500
22055,41954,67660
22057,16947,63439
22059,2126,67077
22061,13415,38035
22063,18935,78617
22065,3083,37267
22067,7368,36981
22069,8377,46798
22071,82338,55339
22073,36927,51241
22075,3024,82874
22077,3598,59351
22079,23749,55946
22081,2121,44539
22083,4462,52960
22085,4930,52047
22087,9906,57638
22089,5047,82172
22091,3218,50193
22093,2057,64536
22095,5146,67418
22097,19321,45637
22099,8461,53394
22101,10553,51768
22103,32413,79277
22105,25465,57256
22107,1255,36074
22109,17391,64819
22111,5806,45743
22113,10823,57537
22115,8409,58281
22117,10493,42776
22119,9462,37396
22121,4298,87320
22123,1473,48514
22125,1328,74277
22127,2625,46368
23001,14060,67298
23003,9423,54254
23005,20956,92983
23007,3403,58522
23009,5591,69630
23011,14969,65062
23013,3424,71903
23015,2985,72026
23017,8187,57933
23019,19846,63248
23021,2761,55234
23023,4086,82080
23025,7756,56199
23027,4992,68441
23029,5396,52237
23031,16428,82904
24001,10541,57393
24003,31842,120324
24005,83082,90904
24009,3758,132059
24011,4064,66368
24013,9065,115876
24015,11202,91146
24017,11077,120592
24019,5225,60495
24021,17361,120458
24023,3073,69031
24025,18271,111317
24027,16915,146982
24029,1698,74402
24031,74198,128733
24033,95468,100708
24035,3518,113347
24037,8344,114580
24039,3963,52462
24041,3799,84378
24043,18367,74157
24045,13995,72861
24047,4263,81455
24510,111877,59623
25001,16909,94452
25003,13481,72565
25005,65846,84198
25007,1102,102348
25009,74235,99431
25011,8508,72584
25013,70787,70535
25015,14750,86391
25017,118146,126779
25019,428,119750
25021,46980,126497
25023,36987,109698
25025,121929,92859
25027,86428,93561
26001,1463,53568
26003,794,59406
26005,11186,80255
26007,4815,51909
26009,2239,71421
26011,1996,56989
26013,973,55117
26015,5087,77873
26017,14358,60523
26019,1824,72603
26021,22818,63152
26023,6607,61958
26025,18521,60385
26027,6752,68011
26029,2239,76495
26031,3253,61619
26033,5077,60631
26035,6488,49805
26037,7344,85928
26039,1930,58614
26041,5066,54829
26043,2505,61882
26045,8305,78025
26047,3145,73724
26049,63645,60673
26051,3335,55576
26053,2100,49672
26055,8091,79486
26057,5050,61128
26059,6830,60869
26061,5326,56573
26063,3757,56963
26065,43352,64354
26067,7186,73436
26069,4166,47777
26071,1909,53614
26073,13723,53759
26075,18352,65004
26077,33669,70525
26079,2529,60365
26081,68503,80390
26083,183,53893
26085,2489,49680
26087,8509,76228
26089,1595,91943
26091,10915,67013
26093,9525,101315
26095,912,54338
26097,1804,58598
26099,85357,76399
26101,2813,60879
26103,8538,64675
26105,4214,62296
26107,7296,57774
26109,2780,55688
26111,8986,77538
26113,1618,61868
26115,16914,75272
26117,7720,64892
26119,1659,47803
26121,21347,63495
26123,7115,61931
26125,96989,95296
26127,3499,63624
26129,3569,51983
26131,731,51844
26133,3602,57050
26135,1302,50581
26137,2411,67285
26139,23541,87144
26141,1589,56713
26143,3593,54106
26145,33133,58347
26147,17388,69349
26149,7186,64707
26151,5593,59074
26153,1179,57708
26155,7854,64464
26157,6616,62847
26159,10340,66902
26161,48323,87156
26163,353134,59521
26165,4301,63123
27001,1937,59498
27003,24172,98764
27005,3802,71117
27007,7084,67257
27009,3976,71480
27011,572,65475
27013,10695,72623
27015,1908,68690
27017,3846,80042
27019,4534,123144
27021,3861,64937
27023,1748,69192
27025,3322,98260
27027,9003,77664
27029,940,64934
27031,628,71643
27033,1594,68239
27035,6390,71343
27037,24512,105212
27039,1127,92943
27041,3213,77264
27043,1609,64391
27045,1858,75225
27047,2959,69012
27049,4344,82749
27051,645,72957
27053,124654,96339
27055,1213,77087
27057,2072,70622
27059,3238,86573
27061,5593,66380
27063,896,69955
27065,1562,71915
27067,4260,75097
27069,389,69615
27071,1247,69115
27073,520,71639
27075,893,75621
27077,306,70091
27079,2034,90218
27081,496,67715
27083,3076,72761
27085,2799,78468
27087,1101,53925
27089,655,71701
27091,2168,62969
27093,1915,75037
27095,2783,71455
27097,3341,68640
27099,4782,71495
27101,647,74475
27103,3061,80362
27105,2729,65509
27107,641,69833
27109,12714,93494
27111,5273,70912
27113,1352,72561
27115,2931,69666
27117,1043,66073
27119,3467,69136
27121,1094,72205
27123,65817,81004
27125,305,77500
27127,1812,67024
27129,1531,69086
27131,5550,82792
27133,889,70698
27135,1654,73611
27137,25849,69455
27139,6230,120247
27141,4702,102965
27143,1460,76082
27145,18584,76447
27147,2746,83448
27149,959,71060
27151,1041,62601
27153,2945,63039
27155,321,65931
27157,1797,80133
27159,1570,56882
27161,1309,75052
27163,13484,114457
27165,1438,70593
27167,921,69635
27169,6239,70198
27171,7128,106666
27173,795,71573
28001,7682,40250
28003,5863,49404
28005,3379,35385
28007,3586,48098
28009,1316,42139
28011,9404,37315
28013,2381,43942
28015,2094,55275
28017,3964,43041
28019,1276,48321
28021,2134,34371
28023,2934,46054
28025,4496,39904
28027,7331,36259
28029,6184,47994
28031,3173,47001
28033,18650,82980
28035,15850,52821
28037,1753,45618
28039,4496,54822
28041,2004,55838
28043,4664,47998
28045,6083,67728
28047,35642,57233
28049,46201,49966
28051,5904,29434
28053,1976,32976
28055,127,29271
28057,2423,59508
28059,20160,64756
28061,3036,47157
28063,1909,36207
28065,2770,37183
28067,13571,51143
28069,1978,43595
28071,9533,64334
28073,10386,69106
28075,17243,50033
28077,2823,43368
28079,4112,48418
28081,11284,67144
28083,8321,33188
28085,7326,48316
28087,9585,54460
28089,11985,78794
28091,4774,42320
28093,7263,51875
28095,5494,51231
28097,2451,45057
28099,7013,53087
28101,4462,50426
28103,2543,38814
28105,13109,43482
28107,7874,43990
28109,9120,56535
28111,2016,50435
28113,10619,41578
28115,4626,52741
28117,3211,51466
28119,1920,32131
28121,15343,77454
28123,5661,48492
28125,1194,35741
28127,4902,54111
28129,2712,51396
28131,3178,59307
28133,6510,40265
28135,3155,37383
28137,4435,63995
28139,3962,51141
28141,3667,46257
28143,3171,38402
28145,3947,56807
28147,2465,45444
28149,8738,56648
28151,12339,40117
28153,4484,36791
28155,1481,59964
28157,2038,35930
28159,5217,49071
28161,2765,49171
28163,6846,40974
29001,4942,56583
29003,1316,74007
29005,639,59260
29007,4231,56232
29009,5714,56611
29011,2559,49503
29013,2937,57914
29015,3264,52200
29017,1272,57286
29019,30192,69913
29021,13568,59423
29023,8360,49213
29025,1130,62520
29027,4682,72645
29029,5642,62927
29031,11024,68912
29033,901,61712
29035,988,45083
29037,6984,87413
29039,2417,45577
29041,850,63307
29043,7831,81245
29045,613,51458
29047,21452,86150
29049,2650,70625
29051,6769,73273
29053,1676,67548
29055,3053,56345
29057,1052,49899
29059,3649,53177
29061,1095,60665
29063,775,69093
29065,2046,54306
29067,1977,49828
29069,5788,47368
29071,8534,71973
29073,1626,65096
29075,948,57458
29077,41698,57488
29079,1600,53839
29081,1278,53364
29083,3548,56621
29085,1627,35084
29087,405,58516
29089,1203,62628
29091,8427,49814
29093,1884,51161
29095,97685,67178
29097,22229,57525
29099,19263,80522
29101,5955,67123
29103,537,53333
29105,6632,50825
29107,3161,79091
29109,6202,55849
29111,1400,52340
29113,6454,85276
29115,1895,61975
29117,1596,60148
29119,3998,48145
29121,1497,58318
29123,1736,58435
29125,1246,61359
29127,3735,63908
29129,506,60357
29131,3598,55172
29133,2454,46258
29135,1464,65161
29137,1360,48299
29139,1612,61042
29141,3566,49663
29143,2894,49237
29145,7810,64583
29147,3408,55970
29149,1858,44259
29151,1318,75355
29153,1886,42329
29155,4109,40748
29157,2037,63356
29159,5714,60232
29161,7216,55427
29163,2582,57572
29165,7370,95748
29167,5486,56686
29169,5608,66435
29171,744,56875
29173,1302,62054
29175,3573,55310
29177,2751,72152
